 	2q	Intensity
1016	61.315	68.909
1017	61.378	68.797
1018	61.442	68.037
1019	61.506	67.714
1020	61.570	66.638
1021	61.634	66.271
1022	61.698	67.012
1023	61.762	66.186
1024	61.826	65.315
1025	61.890	65.907
1026	61.954	65.922
1027	62.018	65.764
1028	62.082	65.506
1029	62.146	65.332
1030	62.210	65.326
1031	62.273	65.184
1032	62.337	64.700
1033	62.401	64.341
1034	62.465	64.471
1035	62.529	64.735
1036	62.593	64.628
1037	62.657	64.175
1038	62.721	64.035
1039	62.785	64.154
1040	62.849	63.854
1041	62.913	63.351
1042	62.977	63.609
1043	63.041	63.609
1044	63.104	63.104
1045	63.168	62.852
1046	63.232	62.205
1047	63.296	62.659
1048	63.360	63.118
1049	63.424	62.428
1050	63.488	61.593
1051	63.552	61.366
1052	63.616	62.213
1053	63.680	63.074
1054	63.744	62.198
1055	63.808	62.136
1056	63.872	62.505
1057	63.935	62.079
1058	63.999	62.095
1059	64.063	62.278
1060	64.127	61.873
1061	64.191	60.992
1062	64.255	61.086
1063	64.319	60.085
1064	64.383	59.845
1065	64.447	60.104
1066	64.511	60.416
1067	64.575	60.292
1068	64.639	59.725
1069	64.703	59.116
1070	64.767	59.192
1071	64.830	59.500
1072	64.894	59.896
1073	64.958	59.970
1074	65.022	60.155
1075	65.086	60.199
1076	65.150	60.548
1077	65.214	60.380
1078	65.278	60.117
1079	65.342	60.190
1080	65.406	60.489
1081	65.470	60.895
1082	65.534	61.558
1083	65.598	62.789
1084	65.661	63.751
1085	65.725	65.144
1086	65.789	68.077
1087	65.853	72.061
1088	65.917	77.971
1089	65.981	89.210
1090	66.045	112.232
1091	66.109	166.401
1092	66.173	318.937
1093	66.237	639.741
1094	66.301	901.231
1095	66.365	674.852
1096	66.429	313.688
1097	66.493	156.643
1098	66.556	105.639
1099	66.620	84.999
1100	66.684	73.913
1101	66.748	68.301
1102	66.812	63.748
1103	66.876	61.426
1104	66.940	59.258
1105	67.004	57.661
1106	67.068	56.153
1107	67.132	56.232
1108	67.196	54.737
1109	67.260	54.437
1110	67.324	52.753
1111	67.387	52.764
1112	67.451	52.305
1113	67.515	52.936
1114	67.579	52.262
1115	67.643	51.750
1116	67.707	51.036
1117	67.771	50.800
1118	67.835	50.858
1119	67.899	50.446
1120	67.963	50.701
1121	68.027	50.674
1122	68.091	50.128
1123	68.155	49.560
1124	68.219	49.085
1125	68.282	48.517
1126	68.346	49.013
1127	68.410	48.459
1128	68.474	48.042
1129	68.538	48.042
1130	68.602	47.951
1131	68.666	47.257
1132	68.730	47.085
1133	68.794	47.104
1134	68.858	46.655
1135	68.922	46.530
1136	68.986	46.198
1137	69.050	46.367
1138	69.113	46.592
1139	69.177	45.772
1140	69.241	45.590
1141	69.305	45.419
1142	69.369	45.331
1143	69.433	45.386
1144	69.497	45.663
1145	69.561	45.826
1146	69.625	45.370
1147	69.689	44.845
1148	69.753	45.389
1149	69.817	45.155
1150	69.881	45.338
1151	69.945	45.158
1152	70.008	45.272
1153	70.072	45.935
1154	70.136	46.611
1155	70.200	47.052
1156	70.264	46.798
1157	70.328	48.433
1158	70.392	49.976
1159	70.456	52.951
1160	70.520	56.846
1161	70.584	64.583
1162	70.648	79.264
1163	70.712	116.351
1164	70.776	232.359
1165	70.839	473.519
1166	70.903	584.842
1167	70.967	336.560
1168	71.031	153.131
1169	71.095	89.790
1170	71.159	66.651
1171	71.223	56.378
1172	71.287	51.473
1173	71.351	48.264
1174	71.415	45.488
1175	71.479	44.173
1176	71.543	43.203
1177	71.607	42.459
1178	71.670	41.759
1179	71.734	41.346
1180	71.798	40.901
1181	71.862	40.775
1182	71.926	40.668
1183	71.990	40.198
1184	72.054	38.914
1185	72.118	38.981
1186	72.182	38.599
1187	72.246	37.773
1188	72.310	37.175
1189	72.374	37.085
1190	72.438	37.618
1191	72.502	36.917
1192	72.565	36.316
1193	72.629	36.060
1194	72.693	36.391
1195	72.757	36.245
1196	72.821	36.008
1197	72.885	35.448
1198	72.949	35.380
1199	73.013	35.319
1200	73.077	35.127
1201	73.141	34.954
1202	73.205	34.661
1203	73.269	34.478
1204	73.333	33.926
1205	73.396	33.903
1206	73.460	34.077
1207	73.524	33.839
1208	73.588	33.262
1209	73.652	33.130
1210	73.716	33.224
1211	73.780	33.018
1212	73.844	32.703
1213	73.908	32.004
1214	73.972	31.829
1215	74.036	32.393
1216	74.100	32.302
1217	74.164	31.869
1218	74.228	31.203
1219	74.291	31.073
1220	74.355	31.530
1221	74.419	31.669
1222	74.483	31.559
1223	74.547	30.932
1224	74.611	30.521
1225	74.675	30.787
1226	74.739	30.866
1227	74.803	30.406
1228	74.867	29.967
1229	74.931	29.982
1230	74.995	30.219
1231	75.059	29.793
1232	75.122	29.716
1233	75.186	29.914
1234	75.250	29.813
1235	75.314	29.085
1236	75.378	29.541
1237	75.442	29.338
1238	75.506	29.204
